Title,Budget,Year,Genre,Rating,LetterboxdRating,Letterboxd URI,Length,Actors
Interstellar,165000000,2014,ScienceFiction|Drama|Adventure,5,4.41,https://boxd.it/4VZ8,169,Matthew McConaughey|Anne Hathaway|Michael Caine
Iron Man,186000000,2008,Adventure|ScienceFiction|Action,4,3.73,https://boxd.it/28dA,126,Robert Downey Jr.|Terrence Howard|Jeff Bridges
Iron Man 2,170000000,2010,Adventure|ScienceFiction|Action,3,2.92,https://boxd.it/1WZM,124,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle
Iron Man 3,200000000,2013,Action|Adventure|ScienceFiction,3,3.04,https://boxd.it/2cBQ,130,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle
It,35000000,2017,Thriller|Horror,4,3.43,https://boxd.it/bC8e,135,Jaeden Martell|Sophia Lillis|Jack Dylan Grazer
It Chapter Two,79000000,2019,Horror|Thriller,2.5,2.9,https://boxd.it/h10u,169,James McAvoy|Jessica Chastain|Bill Hader
It Follows,1300000,2014,Horror|Mystery,4,3.45,https://boxd.it/87wo,101,Maika Monroe|Keir Gilchrist|Daniel Zovatto
Jet Set,0,2007,Animation,5,3.82,https://boxd.it/65Tw,40,�eljko Savi?|Marko Gizdavi?
Jigsaw,10000000,2017,Mystery|Thriller|Horror,3,2.42,https://boxd.it/9sDs,91,Matt Passmore|Tobin Bell|Callum Keith Rennie
Joker,62500000,2019,Crime|Drama|Thriller,4.5,3.84,https://boxd.it/h4cS,122,Joaquin Phoenix|Robert De Niro|Zazie Beetz
Kick-Ass,29000000,2010,Crime|Action,4.5,3.51,https://boxd.it/1zaQ,117,Aaron Taylor-Johnson|Chlo� Grace Moretz|Nicolas Cage
Kick-Ass 2,28000000,2013,Action|Crime|Adventure,4,2.76,https://boxd.it/hqu,103,Aaron Taylor-Johnson|Chlo� Grace Moretz|Christopher Mintz-Plasse
Kingsman: The Secret Service,81000000,2014,Comedy|Crime|Adventure|Action,4,3.74,https://boxd.it/6dxe,129,Taron Egerton|Colin Firth|Samuel L. Jackson
Kirikou and the Sorceress,3900000,1998,Animation|Fantasy|Family|Adventure,4.5,3.97,https://boxd.it/1C3y,71,Doudou Gueye Thiaw|Maimouna N'Diaye|Awa S�ne Sarr
